id,source,text,tip,sentiment,sarcasm
sr-00001,tiktok,"Klara ista mama.",zabava,0,0
sr-00002,tiktok,"Ode jedan dodju dva",zabava,0,1
sr-00003,tiktok,"Zato brakovi traju 2 godine jer se slusaju mediji i drugarice, a ne razum",zabava,-1,1
sr-00003,tiktok,"Mozda smo ludi ali nas niko ne nervira",zabava,0,1
sr-00003,tiktok,"Kako lepa porodica",zabava,1,0
sr-00003,tiktok,"Ima toga dosta u danasnje vreme, to nisu drugarice",zabava,-1,0
sr-00003,tiktok,"Bas licite",zabava,0,0
sr-00003,tiktok,"Pored ovoga ja placam netflix",zabava,1,1
sr-00003,tiktok,"Tako meni na poslu, sve razvedene kazu jedva cekaju da se razvedem i ja. jezivo i pu pu daleko bilo",zabava,-1,1
sr-00003,tiktok,"Zato bolje idi u kafanu na neki vinjak i nek sve ode niz vodu",zabava,0,1
sr-00003,tiktok,"Kako neko uopste moze da voli previse, to ne postoji",zabava,0,1
sr-00003,tiktok,"Njegov kontent je besplatan i to stvarno nije u redu",zabava,1,1
sr-00003,tiktok,"otkud ti vise ideje?",zabava,1,0
sr-00003,tiktok,"MENI UOPSTE NIJE JASNO KAKO SE NE ISCEPATE OD SMEHA KAD SNIMATE OVO JA BIH BILA NA PODU VALJALA SE SMEJAJUCI",zabava,1,0
sr-00003,tiktok,"jel neko dosao ovde zbog onog lika sto ih je snimao sa zgrade",zabava,0,0
sr-00003,tiktok,"doktore pomozi",zabava,0,1
sr-00003,tiktok,"ovaj brat ima buducnost u glumi",zabava,1,0
sr-00003,tiktok,"zanimljivo.",zabava,0,0
sr-00003,tiktok,"jel on cuo za nesto sto se zove brod, ne znam dal je istina ali prica se",zabava,0,1
sr-00003,tiktok,"desanka maksimovic na aparatima",zabava,0,1
sr-00003,tiktok,"tema videa: BRATE hahahah",zabava,0,1
sr-00003,tiktok,"mogu da zamislim ljude koji te gledaju dok snimas to hahahah",zabava,0,0
sr-00003,tiktok,"pogodite koja mu je najdraza rijec",zabava,0,1
sr-00003,tiktok,"ti si hit",zabava,1,0
sr-00003,tiktok,"ovo je u mom kraju",zabava,0,0
sr-00003,tiktok,"kako snimate po ovoj vrucini",zabava,0,0
sr-00003,tiktok,"jel ovo trebalo da bude skec... jer je ziva istina",zabava,1,1
sr-00003,tiktok,"moja mlada sestra se zove srna",zabava,0,0
sr-00003,tiktok,"ne daj boze student hahahahhahahah",zabava,0,1
sr-00003,tiktok,"ko vas ne upozna kao da nije ni ziveo",zabava,1,1
sr-00003,tiktok,"kako nisam ranije naletela na tvoj profil, pa ti si hit",zabava,1,0
sr-00003,tiktok,"Kakav izlazak? Pa ne zelim naredna dva dana da provedem u krevetu sa glavoboljom ",zabava,0,1
sr-00003,tiktok,"to sto si se udala je samo tvoj problem",zabava,-1,1
sr-00003,tiktok,"ovo mi je popravilo dan",zabava,1,0
sr-00003,tiktok,"imas prelepe oci",zabava,1,0
sr-00003,tiktok,"carevi",zabava,1,0
sr-00003,tiktok,"hoces da kazes da pustas muza da izadje iz kuce?!?",zabava,0,1
sr-00003,tiktok,"ja ne kazem da vi niste u pravu, nego da sam ja u pravu",zabava,0,1
sr-00003,tiktok,"nisam zadovoljna jer je previse tacno",zabava,0,1
sr-00003,tiktok,"nisam ja agersivna ja sam strastvena",zabava,0,1
sr-00003,tiktok,"cemu ovo? bas nema nikakve logike",zabava,-1,0
sr-00003,tiktok,"sigurno mi nedostaje simsao za humor, ali ovo je uzasno",zabava,-1,1
sr-00003,tiktok,"zbog ovakvih stvari gubimo kosovo",zabava,-1,1
sr-00003,tiktok,"evo baba slavica me vec pet godina unazad pita kad cu da se udam...",zabava,-1,0
sr-00003,tiktok,"njemu definitivno nikad nije dosadno pored tebe",zabava,1,1
sr-00003,tiktok,"zbogom smrtnici",zabava,0,1
sr-00003,tiktok,"juce leba i pastete, danas vidi me svete hahahahah",zabava,0,1
sr-00003,tiktok,"i bogati placu",zabava,0,1
sr-00003,tiktok,"mislim da u vasoj kuci dete ne moze da spava od vas koliko pricate hahahah",zabava,0,1
sr-00003,tiktok,"ova zena je zakon, koje osvezenje na tik toku",zabava,1,0
yt-06158,tiktok,"Zivimo u najboljoj stvarnosti",zabava,1,1
yt-06158,tiktok,"E kad se ova udala ima nade i za mene",zabava,-1,1
yt-06158,tiktok,"E kad se ova udala ima nade i za mene",zabava,-1,1
yt-06158,tiktok,"Sto je najgore, nije ni smesno",zabava,0,1
yt-06158,tiktok,"Koliko ste lepi i predivni",zabava,1,0
yt-06158,tiktok,"To jos postoji??",zabava,0,0
yt-06158,tiktok,"Ja ga nikad nisam koristila niti se razumem u to kako funkcionise",zabava,0,0
yt-06158,tiktok,"Za napad na naseg predsednika nadlezno je drustvo za zastitu zivotinja",politika,-1,1
yt-06158,tiktok,"Ovako su svi pricali kroz istoriju za sve",politika,0,0
yt-06158,tiktok,"Porodicee romea i julije:",zabava,0,1
yt-06158,tiktok,"Da mogu lajkovala bih dva puta",zabava,1,1
yt-06158,tiktok,"prevruće im je da idu od vrata do vrata pa su prešli na dm-ove",zabava,0,1
yt-06158,tiktok,"Kako ovog lika neko moze da ne gotivi",zabava,1,1
yt-06158,tiktok,"jedini koji vole sela su oni koji ga nikad nisu napustili ili oni koji tamo nikad nisu zivili",zabava,-1,1
yt-06158,tiktok,"volim ja svoje selo ali ne i ljude u njemu",zabava,0,1
yt-06158,tiktok,"al svaki video zaslužuje repost",zabava,1,0
yt-06158,tiktok,"Svaka ti je ko Njegoseva",zabava,1,1
yt-06158,tiktok,"Jedini muskarac koji sme da ima podkast",zabava,1,1
yt-06158,tiktok,"Mislim da jos nisam cula nesto pogresno iz tvojih usta",zabava,1,0
yt-06158,tiktok,"Mislila sam da si stariji od mene",zabava,0,0
yt-06158,tiktok,"Grcki bogovi bi ratovali za tebe",zabava,1,1
yt-06158,tiktok,"izgledas kao da cvjece cvijeta kud hodas",zabava,1,1
yt-06158,tiktok,"licis na vuka karadzica",zabava,0,1
yt-06158,tiktok,"kad ces imati dete? - JA SAM DETE",zabava,0,1
yt-06158,tiktok,"kako se ovoga niko ranije nije setio??",zabava,1,1
yt-06158,tiktok,"ovo je toliko glupo da je smesno",zabava,1,1
yt-06158,tiktok,"Ovo je sadrzaj zbog kog ja placam internet",zabava,1,1
yt-06158,tiktok,"Netflix treba da te zaposli",zabava,1,1
yt-06158,tiktok,"Ovo je kulturno dobro",zabava,1,1
yt-06158,tiktok,"Ne znam šta više čekaju sa Nobelovom nagradom.",zabava,1,1
yt-06158,tiktok,"Treba zakonom zaštititi ovo.",zabava,1,1
yt-06158,tiktok,"Razlog zasto volim internet",zabava,1,1
yt-06158,tiktok,"Ovo treba pustati u skolama",zabava,1,1
yt-06158,tiktok,"Ko je rekao da danas ne može ništa dobro da se desi?",zabava,1,1
yt-06158,tiktok,"Danas sam ipak nesto korisno videla na internetu",zabava,1,1
yt-06158,tiktok,"E sad mogu mirno da legnem",zabava,1,1
yt-06158,tiktok,"Nisam ovo ocekivala, ali okej",zabava,0,1
