id,source,text,tip,sentiment,sarcasm
sr-00001,youtube,"Zasto je na ovoj utakmici Solskjaer igrao levog beka, to je pravo pitanje...",filmovi,0,1
sr-00002,youtube,8:57 spominju kikindu,filmovi,0,0
sr-00003,youtube,"Ja sam bolan zemlju izgubio, boli me uvo za pritisak !",filmovi,-1,0
sr-00004,youtube,"23:18, svako ima nekog tako",filmovi,0,0
sr-00005,youtube,Mozeli mrtav ladan sivi kamioni crvene boje,filmovi,0,0
sr-00006,youtube,Najbolji film možda šta opisuje sve slojeve društva od dna do vrha sportiste shanere umjetnike izbjeglice crkvu navijače kladionica re neradnike radnike svemir će kriminalce roditelje i ko zna šta u sat i po nevjerojatno remek djelo,filmovi,1,0
sr-00007,youtube,"Da, uvek se divimo zapadu a nase mrzimo! Strasno obijasniti to",filmovi,-1,1
sr-00008,youtube,Ali kengur dobija zuti za pljuvanje i zuti za penal i opet brani sta englezi 3 zuta pa crveni,filmovi,0,0
sr-00009,youtube,"Sapic nekada bio voljen ,a sada ,tuzna prica,sta su ljudi u stanju da urade zbog para,huljin potrcko.",filmovi,-1,0
sr-00010,youtube,Stigli ćevapi za našu dragu gošću kengurrr madrrr,filmovi,0,0
sr-00011,youtube,Dva puta ulazim u kadrove u ovom filmu,filmovi,0,0
sr-00012,youtube,Jedan od filmova koje znam napamet u reč..antologijsko remek delo i pokazatelj mentaliteta ovog naseg napacenog naroda,filmovi,1,0
sr-00014,youtube,Cijela Zenica je znala ove fraze,filmovi,0,0
sr-00015,youtube,Ja ne mogu ovu Karan folirantkinju,filmovi,-1,0
sr-00016,youtube,Klinci idite u skolu.,filmovi,0,1
sr-00017,youtube,"Ali majca je najjača ""METALLICA""",filmovi,1,0
sr-00018,youtube,"Genijalna glumačka ekipa, preinteligentan humor, replike da se ukenjaš od smijeha, sve što današnjim filmovima fali. ""Vodi je u mrak da ti sija!""",filmovi,1,0
sr-00019,youtube,Odličan film 35:33 39:01-39:08 navijač liverpoola 59:19-59:30 1:00:26-1:00:33 živac u mraku 1:02:22 ode kemijska 1:08:44-1:08:48 1:11:34-1:11:48,filmovi,1,0
sr-00020,youtube,Do 2026 godine million pregleda u najavi,filmovi,1,0
sr-00021,youtube,Najzabavniji film,filmovi,1,0
sr-00022,youtube,Gospodjo je li vam neko rekao da ste rodili idiota,filmovi,0,1
sr-00023,youtube,Kengur je stekao status kultnog SrBskog filma,filmovi,1,0
