id,source,text,tip,sentiment,sarcasm
1,youtube,"Zasto je na ovoj utakmici Solskjaer igrao levog beka, to je pravo pitanje...",filmovi,0,1
2,youtube,8:57 spominju kikindu,filmovi,0,0
3,youtube,"Ja sam bolan zemlju izgubio, boli me uvo za pritisak !",filmovi,-1,0
4,youtube,"23:18, svako ima nekog tako",filmovi,0,0
5,youtube,Mozeli mrtav ladan sivi kamioni crvene boje,filmovi,0,0
6,youtube,Najbolji film možda šta opisuje sve slojeve društva od dna do vrha sportiste shanere umjetnike izbjeglice crkvu navijače kladionica re neradnike radnike svemir će kriminalce roditelje i ko zna šta u sat i po nevjerojatno remek djelo,filmovi,1,0
7,youtube,"Da, uvek se divimo zapadu a nase mrzimo! Strasno obijasniti to",filmovi,-1,1
8,youtube,Ali kengur dobija zuti za pljuvanje i zuti za penal i opet brani sta englezi 3 zuta pa crveni,filmovi,0,0
9,youtube,"Sapic nekada bio voljen ,a sada ,tuzna prica,sta su ljudi u stanju da urade zbog para,huljin potrcko.",filmovi,-1,0
10,youtube,Stigli ćevapi za našu dragu gošću kengurrr madrrr,filmovi,0,0
11,youtube,Dva puta ulazim u kadrove u ovom filmu,filmovi,0,0
12,youtube,Jedan od filmova koje znam napamet u reč..antologijsko remek delo i pokazatelj mentaliteta ovog naseg napacenog naroda,filmovi,1,0
13,youtube,Cijela Zenica je znala ove fraze,filmovi,0,0
14,youtube,Ja ne mogu ovu Karan folirantkinju,filmovi,-1,0
15,youtube,Klinci idite u skolu.,filmovi,0,1
16,youtube,"Ali majca je najjača ""METALLICA""",filmovi,1,0
17,youtube,"Genijalna glumačka ekipa, preinteligentan humor, replike da se ukenjaš od smijeha, sve što današnjim filmovima fali. ""Vodi je u mrak da ti sija!""",filmovi,1,0
18,youtube,Odličan film 35:33 39:01-39:08 navijač liverpoola 59:19-59:30 1:00:26-1:00:33 živac u mraku 1:02:22 ode kemijska 1:08:44-1:08:48 1:11:34-1:11:48,filmovi,1,0
19,youtube,Do 2026 godine million pregleda u najavi,filmovi,1,0
20,youtube,Najzabavniji film,filmovi,1,0
21,youtube,Gospodjo je li vam neko rekao da ste rodili idiota,filmovi,0,1
22,youtube,Kengur je stekao status kultnog SrBskog filma,filmovi,1,0
23,youtube,"stanujem u tom kraju,tu i idem u kladionicu,doduse ti lavovi vise ne postoje,sad je tu market,mozart je deset metara tu dalje,95% filma he snuiman u vojvode stepe,deo sa kengurovim stanom je sniman u kumodraskoj,mislim",filmovi,0,0
24,youtube,Cile najjaci lik,filmovi,1,0
25,youtube,"Kultni film, oslikava jedno srecno vreme, i Beograd, kad je bio Beograd, ulice, ljudi, spika, nostalgija. Danas, Evropa, pakistanci, kinezi. A film, sta reći, svaka rečenica je kultna i oslikava neko drugacije vreme i mesto.",filmovi,1,0
26,youtube,COM CREVERO ERO MACROPUS...na latimskom ime filma,filmovi,0,1
27,youtube,Koja pesma se čuje u pozadini 58:15,filmovi,0,0
